状態,状態番号,和名,学名,写真,分布地域画像,写真サイズ,説明,説明出典,画像出典
外来種,0,ミカンキイロアザミウマ,"Franklella occidentalis",ミカンキイロアザミウマ.jpg,ミカンキイロアザミウマ.gif,14,"●比較的大型のアザミウマ．
●体長はメスで1.4～1.7mm,オスで1.0～1.2mm．
●体色はメスでは明黄色～褐色と変異があり,低温条件下で褐色型が多くなる．
●オスは明黄色のみ．","国立環境研究所 侵入生物チームのサイト「生物侵入データベース」(https://www.nies.go.jp/biodiversity/invasive/DB/toc6_insects.html)より。","FMCジャパンのサイトの「ミカンキイロアザミウマの特徴と防除方法・効果的な農薬」のページ(https://www.fmc-japan.com/wiki/vegetable/thrips/western-flower-thrips)より。"
外来種,0,シルバーリーフコナジラミ,"Bemisia agentifolii",シルバーリーフコナジラミ.jpg,シルバーリーフコナジラミ.gif,31,"●体長約1mmのコナジラミ．
●タバココナジラミ[B. tabaci]（日本に自然分布）と似る．
●成虫の胴体は白色～淡黄色．
●翅は白色の無地で,粉状のワックス性分泌物に覆われる．","国立環境研究所 侵入生物チームのサイト「生物侵入データベース」(https://www.nies.go.jp/biodiversity/invasive/DB/toc6_insects.html)より。","国立環境研究所 侵入生物チームのサイト「生物侵入データベース」(https://www.nies.go.jp/biodiversity/invasive/DB/toc6_insects.html)より。"
外来種,0,オンシツコナジラミ,"Trialerodes vaporariorum",オンシツコナジラミ.jpg,オンシツコナジラミ.gif,18,"●メスの体長は約1.2mm,オスは約1.0mmのコナジラミ．
●胴体は淡黄色
●翅はやや裾広がりの形状で淡黄色だが白色のワックス性分泌物で（介殻）で覆われ，全体が白色に見える．
●雄はやや小型．","国立環境研究所 侵入生物チームのサイト「生物侵入データベース」(https://www.nies.go.jp/biodiversity/invasive/DB/toc6_insects.html)より。","国立環境研究所 侵入生物チームのサイト「生物侵入データベース」(https://www.nies.go.jp/biodiversity/invasive/DB/toc6_insects.html)より。"
外来種,0,ヨコヅナサシガメ,"Agriophodrus dohrni",ヨコヅナサシガメ.jpg,ヨコヅナサシガメ.gif,17,"●体長16-24mmの大型のサシガメ．
●体色は光沢のある黒色で，直立した長い毛に覆われる．
●各脚の基節と腹端2節は鮮やかな赤色．
●成虫では腹部結合板が大きく広がり，白地に大きな黒斑．
●頭部は細長く突出．","国立環境研究所 侵入生物チームのサイト「生物侵入データベース」(https://www.nies.go.jp/biodiversity/invasive/DB/toc6_insects.html)より。","国立環境研究所 侵入生物チームのサイト「生物侵入データベース」(https://www.nies.go.jp/biodiversity/invasive/DB/toc6_insects.html)より。"
外来種,0,イネミズゾウムシ,"Lissohoptrus oryzophilus",イネミズゾウムシ.jpg,イネミズゾウムシ.gif,18,"●成虫で体長2.5-3.5mm,幅1.2-1.8mm程度の甲虫．
●体表は灰白色の鱗片で覆われる．
●胸部及び腹部背面に黒色の斑紋がある．
●メスの方ががっしりしている．
●メスでは第1～第2腹板が平ら～中央部でやや突出するのに対し,オスでは幅広くへこむ．
●背面の黒色斑紋を持つ点で,他のゾウムシ類と区別ができる．","国立環境研究所 侵入生物チームのサイト「生物侵入データベース」(https://www.nies.go.jp/biodiversity/invasive/DB/toc6_insects.html)より。","国立環境研究所 侵入生物チームのサイト「生物侵入データベース」(https://www.nies.go.jp/biodiversity/invasive/DB/toc6_insects.html)より。"
外来種,0,アルファルファタコゾウムシ,"Hypera posica",アルファルファタコゾウムシ.jpg,アルファルファタコゾウムシ.gif,18,"●体長約4～6.5mmの甲虫,体型は楕円形．
●胸部背面の左右および腹部背面の左右～後部が淡褐色で,頭部～胸部～腹部背面の中央部は褐色～黒褐色．
●毛状の2裂した鱗片に全身が覆われる．
●吻(口先)はほぼまっすぐでやや太く短い．
●上翅鱗片の切れ込みが基部に達しない点で,同属の在来種ハコベタコゾウムシ[H. basalis]と区別可能．","国立環境研究所 侵入生物チームのサイト「生物侵入データベース」(https://www.nies.go.jp/biodiversity/invasive/DB/toc6_insects.html)より。","国立環境研究所 侵入生物チームのサイト「生物侵入データベース」(https://www.nies.go.jp/biodiversity/invasive/DB/toc6_insects.html)より。"
外来種,0,キボシカミキリ（亜種不明）,"Psacothea ilaris subsp",キボシカミキリ.jpg,キボシカミキリ.gif,16,"●体長15-30mm程度のカミキリムシ．
●触角は雄では体長の3倍,雌では体長の2倍程度．
●多くの地域の個体群では,黒地に黄色の斑点を鞘翅に持つ．
●前胸部の形状・斑紋には著しい地理的変異がある．","国立環境研究所 侵入生物チームのサイト「生物侵入データベース」(https://www.nies.go.jp/biodiversity/invasive/DB/toc6_insects.html)より。","「とある虫屋のむし写し」のキボシカミキリのページ(https://roki.main.jp/site/sp0218.html)より。"
外来種,0,チャバネゴキブリ,"Blattlla germanica",チャバネゴキブリ.jpg,チャバネゴキブリ.gif,18,"●成虫の体長10～15mm程度のゴキブリ．
●成虫は淡黄褐色で,前胸背面に1対の黒い斑紋がある．
●黒い斑紋は,太く後部で離れてハの字形に見える．
●体形は，雄では細長く,雌はやや丸みを帯びる．
●幼虫は全体が黒色で,胸部に黄色の斑紋がある．","国立環境研究所 侵入生物チームのサイト「生物侵入データベース」(https://www.nies.go.jp/biodiversity/invasive/DB/toc6_insects.html)より。","国立環境研究所 侵入生物チームのサイト「生物侵入データベース」(https://www.nies.go.jp/biodiversity/invasive/DB/toc6_insects.html)より。"
外来種,0,マメハモグリバエ,"Lirioyza trifolii",マメハモグリバエ.jpg,マメハモグリバエ.gif,14,"●体長約2mmのハエ．
●頭部および胸部と腹部の側面は黄色,その他は黒色で光沢があり,複眼は赤紫色．
●外頭頂剛毛・内頭頂剛毛の着生部は黄色部にある．
●トマトハモグリバエや在来種のナスハモグリバエに酷似するが,これらの形質により識別可能．","国立環境研究所 侵入生物チームのサイト「生物侵入データベース」(https://www.nies.go.jp/biodiversity/invasive/DB/toc6_insects.html)より。","FMCジャパンのサイトの「マメハモグリバエの特徴と防除方法・効果的な農薬」のページ(https://www.fmc-japan.com/wiki/vegetable/leafminer/serpentine-leafminer)より。"
外来種,0,クリタマバチ,"Drycosmus kuriphilus",クリタマバチ.jpg,クリタマバチ.gif,15,"●成虫の体長約2.5～3mm程度のハチ．
●単為生殖し,雌のみ．
●頭部・胸部・腹部は黒色,脚・触角・頭盾・腮は黄褐色．
●翅は透明．
●ほぼ全身の表面は滑らかで光沢がある．","国立環境研究所 侵入生物チームのサイト「生物侵入データベース」(https://www.nies.go.jp/biodiversity/invasive/DB/toc6_insects.html)より。","国立環境研究所 侵入生物チームのサイト「生物侵入データベース」(https://www.nies.go.jp/biodiversity/invasive/DB/toc6_insects.html)より。"
絶滅危惧種,1,アカハネバッタ,"Celes akitanus",アカハネバッタ.jpg,アカハネバッタ.png,20,"●中～大型のバッタ.成虫はオスで25～27mm,メスは30～40mm.
●灰褐色から淡褐色の個体が多い.
●翅は後腿節を僅かに越え,不規則な多数の暗褐色紋をもつ.
●後腿節の背面より内面に黒褐色の3帯があり,後脛節には3個の暗い藍色の環がある.
●一見クルマバッタモドキに似るが,オスメスともに後翅基部が赤いので区別は容易.","環境省・「国内希少野生動植物種に追加する種の概要」10ページ(https://www.env.go.jp/council/12nature/y125-10b/900434507.pdf/)より、(読点・句読点をカンマ・ピリオドにするなど)編集・加工等を行った。 "
絶滅危惧種,1,マルコガタノゲンゴロウ,"Cybister lewisianus",マルコガタノゲンゴロウ.jpg,マルコガタノゲンゴロウ.png,18,"●体長21～26mm.体型は卵形で比較的厚い.
●背面は緑色あるいは褐色を帯びた黒色で強い光沢がある.
●頭楯,前頭両側,上唇,前胸背および上翅の側縁部は黄色.
●この上翅の黄色帯は側縁から側片に達し,翅端に向けて徐々に細くなる.","ひょうごの環境・「レッドリスト2022（昆虫類） 種リスト」(https://www.kankyo.pref.hyogo.lg.jp/application/files/1916/8075/5552/120..pdf)より、(読点・句読点をカンマ・ピリオドにするなど)編集・加工等を行った。 "
絶滅危惧種,1,オオウラギンヒョウモン,"Fabriciana nerippe",オオウラギンヒョウモン.jpg,オオウラギンヒョウモン.png,19,"●前翅長30～38mm程度.
●翅の地色は橙色で,前後翅ともに黒斑を散布する.
●後翅裏面は緑黄色となり,銀白色から褐色斑を散布する.
●外縁部に沿った銀白色紋はハート型.","ひょうごの環境・「レッドリスト2022（昆虫類） 種リスト」(https://www.kankyo.pref.hyogo.lg.jp/application/files/1716/8075/5574/247..pdf/)より、(読点・句読点をカンマ・ピリオドにするなど)編集・加工等を行った。 "
絶滅危惧種,1,ノシメコヤガ,"Sinocharis korbae",ノシメコヤガ.jpg,ノシメコヤガ.png,21,"●開張35～41mm内外.
●はねは白色で,前羽の翅底部と外縁部,後ばねの先端に褐色を帯びる.
●国内では青森県と岩手県からの記録しかなく,詳しい生態も不明で産地もとても少なく,希少な種類.","青森県庁環境エネルギー部自然保護課のpdf(https://www.pref.aomori.lg.jp/soshiki/kankyo/shizen/files/2009-1202-1416.pdf)5ページ目より、(読点・句読点をカンマ・ピリオドにする、口調を変える、3文目・「本県」を「青森県」に変えるなど)編集・加工等を行った。","Insecta.pro(英語のサイト)の「Sinocharis korbae」(ノシメコヤガ)のページ(https://insecta.pro/taxonomy/22548)より。"
固有種,2,ギフチョウ,"Luehdorfia japonica",ギフチョウ.jpg,no_image_logo.png,18,"●アゲハチョウの仲間としてはやや小型の種.
●4月のサクラの咲くころに姿を見せ,スミレ類やショウジョウバカマ、,カタクリなどの花に求蜜しながらかれんに飛ぶ姿から「春の女神」とも呼ばれている.
●黒色と黄色のしま模様をしていることから「ダンダラチョウ」とも呼ばれている.
●幼虫の時期の食草であるウマノスズクサ科のカンアオイ類(スズカカンアオイ・ミヤコカンアオイ)の植物が生えている丘陵地から低地の雑木林(クヌギやコナラ)やその周辺に生息している.","MieMu(三重県総合博物館)のスタッフのおすすめのギフチョウのページ(https://www.bunka.pref.mie.lg.jp/MieMu/82916046603.htm)より、(読点・句読点をカンマ・ピリオドにする、口調を変える、文を省略し順を入れ替えるなど)編集・加工等を行った。","MieMu(三重県総合博物館)のスタッフのおすすめのギフチョウのページ(https://www.bunka.pref.mie.lg.jp/MieMu/82916046603.htm)より。"
固有種,2,ニホンミツバチ,"Apis cerana japonica",ニホンミツバチ.jpg,no_image_logo.png,16,"●全体的に黒っぽい色をしており,体長は11mm 前後.
●行動範囲は1〜2kmで,年間の1群当たりの集蜜量は5kg程度と言われている. 
●在来種の特徴としてセイヨウミツバチよりも病気や天敵に強く,巣を襲うスズメバチに対しては,集団で取り囲んで熱球を作り戦う特徴を持っている.","豊田市矢作川研究所のサイトのpdf(https://www.yahagigawa.jp/media/001/202006/No207_p4-5.pdf)より、(読点・句読点をカンマ・ピリオドにする、口調を変える、文を省略するなど)編集・加工等を行った。","高知県特販通販 さとのわのサイトの「日本蜜蜂（ニホンミツバチ）とは？」のページ(https://satonowa.net/hpgen/HPB/entries/120.html)より。"
